iter	Passed	Remaining
399	44681	122875
400	44795	122767
401	44908	122659
402	45020	122549
403	45130	122434
404	45248	122339
405	45371	122257
406	45481	122141
407	45591	122025
408	45705	121917
409	45816	121804
410	45938	121721
411	46053	121617
412	46175	121532
413	46314	121491
414	46426	121380
415	46543	121280
416	46663	121192
417	46758	121034
418	46893	120982
419	47016	120900
420	47133	120800
421	47248	120695
422	47363	120590
423	47478	120486
424	47589	120373
425	47707	120277
426	47817	120160
427	47927	120042
428	48042	119937
429	48159	119837
430	48269	119721
431	48386	119621
432	48495	119503
433	48604	119384
434	48715	119269
435	48836	119179
436	48950	119072
437	49068	118973
438	49184	118870
439	49297	118762
440	49410	118653
441	49521	118538
442	49633	118424
443	49748	118320
444	49862	118214
445	49979	118114
446	50099	118018
447	50220	117927
448	50340	117835
449	50468	117759
450	50600	117694
451	50717	117593
452	50853	117534
453	50968	117430
454	51108	117381
455	51223	117273
456	51341	117175
457	51460	117078
458	51576	116973
459	51691	116868
460	51823	116798
461	51961	116744
462	52077	116639
463	52193	116536
464	52318	116450
465	52438	116354
466	52557	116257
467	52662	116127
468	52776	116017
469	52885	115897
470	53007	115806
471	53124	115702
472	53239	115597
473	53366	115514
474	53480	115405
475	53601	115309
476	53717	115206
477	53829	115091
478	53935	114965
479	54046	114849
480	54156	114731
481	54262	114605
482	54386	114514
483	54498	114402
484	54610	114288
485	54723	114175
486	54837	114065
487	54950	113953
488	55056	113828
489	55160	113698
490	55282	113603
491	55392	113487
492	55510	113385
493	55622	113271
494	55747	113184
495	55866	113085
496	55981	112976
497	56104	112885
498	56211	112761
499	56323	112647
500	56441	112545
501	56550	112425
502	56663	112313
503	56781	112210
504	56914	112138
505	57036	112043
506	57149	111932
507	57267	111830
508	57387	111731
509	57517	111651
510	57635	111549
511	57743	111427
512	57859	111320
513	57979	111221
514	58098	111120
515	58219	111022
516	58339	110924
517	58450	110807
518	58587	110741
519	58690	110609
520	58812	110513
521	58927	110404
522	59044	110299
523	59165	110201
524	59280	110092
525	59396	109984
526	59509	109871
527	59630	109773
528	59747	109668
529	59857	109551
530	59977	109450
531	60097	109350
532	60209	109234
533	60319	109118
534	60449	109035
535	60569	108935
536	60697	108847
537	60828	108767
538	60946	108662
539	61067	108564
540	61189	108467
541	61304	108357
542	61415	108240
543	61526	108124
544	61644	108019
545	61764	107918
546	61882	107813
547	62000	107709
548	62113	107596
549	62233	107493
550	62352	107390
551	62469	107285
552	62590	107184
553	62709	107080
554	62825	106972
555	62947	106875
556	63063	106767
557	63209	106708
558	63323	106596
559	63438	106485
560	63553	106376
561	63668	106265
562	63791	106167
563	63901	106049
564	64016	105938
565	64135	105835
566	64249	105723
567	64368	105617
568	64482	105505
569	64598	105397
570	64725	105306
571	64840	105195
572	64956	105086
573	65073	104979
574	65197	104883
575	65318	104781
576	65437	104677
577	65530	104530
578	65647	104422
579	65761	104311
580	65882	104210
581	65993	104093
582	66109	103982
583	66239	103895
584	66349	103777
585	66469	103674
586	66578	103553
587	66691	103439
588	66804	103326
589	66919	103215
590	67068	103156
591	67196	103064
592	67324	102974
593	67438	102860
594	67556	102754
595	67693	102675
596	67804	102558
597	67917	102444
598	68030	102329
599	68140	102211
600	68279	102135
601	68405	102039
602	68522	101932
603	68655	101846
604	68770	101735
605	68890	101630
606	69011	101528
607	69127	101417
608	69248	101313
609	69372	101216
610	69491	101109
611	69603	100993
612	69715	100877
613	69838	100776
614	69957	100670
615	70076	100564
616	70194	100456
617	70309	100344
618	70428	100237
619	70536	100116
620	70668	100028
621	70778	99908
622	70892	99795
623	71005	99680
624	71118	99566
625	71235	99457
626	71350	99344
627	71468	99236
628	71596	99142
629	71712	99031
630	71842	98940
631	71973	98849
632	72091	98741
633	72204	98626
634	72320	98515
635	72461	98438
636	72583	98335
637	72712	98241
638	72834	98138
639	72987	98077
640	73358	98306
641	73489	98215
642	73628	98133
643	73761	98043
644	73904	97965
645	74069	97918
646	74212	97840
647	74348	97754
648	74495	97682
649	74722	97714
650	75027	97846
651	75209	97818
652	75433	97844
653	75625	97826
654	75777	97758
655	75953	97720
656	76115	97664
657	76250	97573
658	76382	97477
659	76511	97378
660	76680	97330
661	76817	97240
662	76956	97153
663	77088	97057
664	77229	96971
665	77360	96874
666	77496	96783
667	77629	96688
668	77763	96593
669	77890	96491
670	78027	96401
671	78161	96306
672	78292	96207
673	78440	96130
674	78577	96039
675	78713	95946
676	78838	95840
677	78959	95729
678	79085	95624
679	79209	95517
680	79340	95418
681	79463	95309
682	79589	95204
683	79724	95110
684	79845	94998
685	79987	94912
686	80109	94802
687	80245	94708
688	80368	94599
689	80503	94503
690	80633	94402
691	80751	94288
692	80876	94181
693	81008	94081
694	81127	93967
695	81259	93868
696	81384	93761
697	81507	93651
698	81635	93548
699	81771	93452
700	81906	93357
701	82035	93253
702	82155	93141
703	82280	93032
704	82400	92919
705	82526	92812
706	82657	92712
707	82797	92621
708	82930	92521
709	83066	92425
710	83211	92340
711	83356	92254
712	83491	92157
713	83622	92055
714	83756	91956
715	83903	91872
716	84037	91772
717	84168	91671
718	84359	91634
719	84548	91594
720	84724	91540
721	84851	91433
722	84992	91340
723	85126	91240
724	85251	91131
725	85388	91034
726	85528	90939
727	85658	90835
728	85792	90735
729	85944	90653
730	86099	90575
731	86255	90497
732	86394	90401
733	86529	90301
734	86668	90206
735	86835	90139
736	87040	90111
737	87216	90053
738	87374	89975
739	87534	89900
740	87732	89863
741	87876	89771
742	88015	89673
743	88200	89623
744	88423	89610
745	88601	89551
746	88751	89464
747	88904	89379
748	89038	89275
749	89169	89169
750	89307	89069
751	89437	88961
752	89568	88854
753	89690	88739
754	89813	88623
755	89946	88518
756	90086	88420
757	90220	88315
758	90353	88210
759	90502	88121
760	90663	88042
761	90788	87929
762	90922	87823
763	91039	87702
764	91172	87597
765	91304	87490
766	91433	87380
767	91561	87269
768	91679	87149
769	91801	87032
770	91944	86936
771	92066	86819
772	92193	86707
773	92319	86593
774	92448	86484
775	92577	86373
776	92698	86256
777	92824	86142
778	92944	86024
779	93062	85903
780	93190	85792
781	93311	85674
782	93430	85554
783	93544	85431
784	93665	85313
785	93798	85206
786	93928	85096
787	94051	84980
788	94175	84865
789	94302	84752
790	94445	84654
791	94563	84534
792	94689	84420
793	94841	84329
794	94967	84216
795	95084	84095
796	95197	83969
797	95315	83848
798	95440	83734
799	95560	83615
800	95683	83499
801	95798	83375
802	95917	83255
803	96043	83141
804	96167	83026
805	96306	82923
806	96430	82808
807	96557	82694
808	96677	82576
809	96805	82463
810	96940	82357
811	97075	82251
812	97214	82148
813	97339	82033
814	97459	81913
815	97584	81798
816	97703	81678
817	97825	81561
818	97945	81441
819	98069	81325
820	98210	81223
821	98332	81106
822	98469	81000
823	98597	80888
824	98730	80779
825	98858	80666
826	98983	80551
827	99106	80434
828	99223	80312
829	99353	80201
830	99488	80093
831	99614	79979
832	99762	79881
833	99899	79776
834	100020	79656
835	100145	79541
836	100271	79426
837	100390	79305
838	100508	79184
839	100633	79069
840	100760	78954
841	100917	78864
842	101035	78743
843	101168	78633
844	101296	78519
845	101432	78412
846	101562	78300
847	101685	78182
848	101813	78068
849	101949	77961
850	102080	77850
851	102211	77738
852	102333	77619
853	102452	77499
854	102575	77381
855	102703	77267
856	102825	77149
857	102946	77030
858	103070	76912
859	103191	76794
860	103311	76673
861	103430	76552
862	103546	76430
863	103649	76297
864	103772	76179
865	103926	76084
866	104054	75970
867	104174	75850
868	104290	75727
869	104410	75607
870	104541	75495
871	104678	75387
872	104802	75270
873	104924	75152
874	105054	75039
875	105180	74923
876	105295	74799
877	105420	74682
878	105541	74563
879	105657	74440
880	105786	74326
881	105906	74206
882	106031	74089
883	106152	73970
884	106273	73850
885	106405	73739
886	106539	73629
887	106660	73509
888	106776	73386
889	106904	73271
890	107037	73160
891	107167	73047
892	107303	72937
893	107434	72824
894	107560	72708
895	107684	72590
896	107830	72488
897	107951	72368
898	108071	72248
899	108188	72125
900	108326	72017
901	108452	71900
902	108568	71777
903	108714	71674
904	108847	71562
905	108977	71448
906	109102	71331
907	109222	71211
908	109342	71090
