iter	Logloss
0	0.6864533618
5	0.660787482
10	0.6445494666
15	0.6335334817
20	0.6257665696
25	0.6199786629
30	0.6154821528
35	0.611920229
40	0.6090375256
45	0.6067299973
50	0.6048565977
55	0.6029106916
60	0.6014188129
65	0.6000869038
70	0.598863787
75	0.5977895849
80	0.5966960694
85	0.5957571262
90	0.5948871129
95	0.5940942881
100	0.5933233779
105	0.5925861524
110	0.5918483416
115	0.5911347213
120	0.5906183968
125	0.5898981436
130	0.589381624
135	0.5889114046
140	0.5884309757
145	0.5879414428
150	0.5873954004
155	0.5869566546
160	0.5864599687
165	0.5860497703
170	0.5855652446
175	0.5851741646
180	0.5846510121
185	0.584298884
190	0.5839288731
195	0.5835412396
200	0.5831552317
205	0.5828006976
210	0.5824505203
215	0.5820490357
220	0.5817004842
225	0.5813894539
230	0.5810236049
235	0.5806945618
240	0.5803835966
245	0.5799952477
250	0.5796735529
255	0.5793446398
260	0.57900012
265	0.5786877892
270	0.5784119393
275	0.5780889439
280	0.5778387151
285	0.5774897733
290	0.5772008527
295	0.5769545256
300	0.5767364858
305	0.5764329988
310	0.5761513614
315	0.5757798548
320	0.575499583
325	0.5752672369
330	0.5750219503
335	0.5747169027
340	0.574414001
345	0.5742038946
350	0.5739635501
355	0.5737326347
360	0.5734441042
365	0.5731839261
370	0.5729337623
375	0.5727113656
380	0.5725050959
385	0.5722858856
390	0.5720796159
395	0.5717962877
400	0.5715502208
405	0.5713358876
410	0.5710751892
415	0.5708801044
420	0.5706577727
425	0.5704345306
430	0.5702172061
435	0.5699834945
440	0.5697514086
445	0.5694788101
450	0.5692573888
455	0.5690782359
460	0.5688428986
465	0.5686084066
470	0.5684047381
475	0.5681622476
480	0.567882626
485	0.5676675125
490	0.5674544799
495	0.5672597202
500	0.5670388191
505	0.5668304686
510	0.566610673
515	0.5663423663
520	0.5661243915
525	0.5659238443
530	0.5656868163
535	0.5655079885
540	0.5653062708
545	0.5650645607
550	0.5648406684
555	0.5646130694
560	0.5644118719
565	0.5641882397
570	0.5639821651
575	0.5637945585
580	0.5636008393
585	0.5634325461
590	0.5632463702
595	0.5630175357
600	0.5628104856
605	0.5626102636
610	0.5624253882
615	0.5622288077
620	0.562043282
625	0.5618279734
630	0.561610779
635	0.5614200511
640	0.5612307537
645	0.5610410663
650	0.5608867542
655	0.5606637072
660	0.5604597135
665	0.5602443398
670	0.5599978177
675	0.5597802981
680	0.5595648594
685	0.5593831054
690	0.5591796969
695	0.5590148502
700	0.5587481693
705	0.5585212206
710	0.5583379709
715	0.5581452922
720	0.5579877937
725	0.5578032434
730	0.5575796762
735	0.5573941506
740	0.557213567
745	0.5570382508
750	0.5568249581
755	0.5566313039
760	0.5564764065
765	0.5562906858
770	0.5561121831
775	0.5559213252
780	0.5557222086
785	0.5555662708
790	0.5553885485
795	0.555244706
800	0.5550796642
805	0.5549081846
810	0.5547248699
815	0.5545783612
820	0.5543990132
825	0.5542169991
830	0.5540379763
835	0.5538635054
840	0.5536816213
845	0.5535156691
850	0.5533185034
855	0.5531517059
860	0.5529759995
865	0.5527991876
870	0.552652809
875	0.5524726156
880	0.5522740193
885	0.5521121639
890	0.5519293044
895	0.5517686845
900	0.5515801025
905	0.5514038109
910	0.55125236
915	0.5511094929
920	0.5509132376
925	0.5507640627
930	0.550592323
935	0.5504463346
940	0.550270303
945	0.5501090329
950	0.5499815125
955	0.5498279807
960	0.5496499333
965	0.5495012136
970	0.5493127617
975	0.5491427127
980	0.5489829383
985	0.5488162708
990	0.5486622838
995	0.5485060859
1000	0.5483331107
1005	0.5481761325
1010	0.5480015315
1015	0.5478269957
1020	0.5476996703
1025	0.5475059511
1030	0.5473506635
1035	0.5471876377
1040	0.5470365119
1045	0.5468850611
1050	0.5467062333
1055	0.5465342336
1060	0.5463759547
1065	0.546231657
1070	0.5461040065
1075	0.5459587333
1080	0.5457976583
1085	0.5456311209
1090	0.5454549918
1095	0.5452870888
1100	0.5451407426
1105	0.545008215
1110	0.5448487332
1115	0.5447241065
1120	0.5445891403
1125	0.5444373643
1130	0.5442704042
1135	0.5441259764
1140	0.5439538466
1145	0.543784643
1150	0.5436332572
1155	0.5434720521
1160	0.5433486934
1165	0.5431950316
1170	0.5430599029
1175	0.5429204497
1180	0.5427654548
1185	0.5426287004
1190	0.5424757214
1195	0.5423441041
1200	0.5422014321
1205	0.5420609385
1210	0.541929744
1215	0.5417901933
1220	0.5416360113
1225	0.5414538671
1230	0.541324916
1235	0.5411684254
1240	0.5410590154
1245	0.5409381603
1250	0.5408036493
1255	0.5406347384
1260	0.5404298668
1265	0.5402962662
1270	0.5401778172
1275	0.5400427535
1280	0.5399123393
1285	0.5397656355
1290	0.5396033574
1295	0.5394513213
1300	0.5392965865
1305	0.5391202949
1310	0.5389624062
1315	0.5388347883
1320	0.5386595696
1325	0.5385125406
1330	0.5383612849
1335	0.5381916261
1340	0.5380230078
1345	0.5378618352
1350	0.5377501817
1355	0.5376030227
1360	0.5374525472
1365	0.5373018117
1370	0.537152897
1375	0.5370134113
1380	0.5368597495
1385	0.5367016983
1390	0.5365515155
1395	0.5363924888
1400	0.5362516051
1405	0.5360922858
1410	0.5359471752
1415	0.5358154929
1420	0.5356588073
1425	0.5355344407
1430	0.5353816243
1435	0.5352461054
1440	0.5351342242
1445	0.5349825458
1450	0.5348403614
1455	0.5346935276
1460	0.5345454582
1465	0.5343685813
1470	0.5342019789
1475	0.5340787503
1480	0.5339458325
1485	0.5338282614
1490	0.5336851341
1495	0.5335578738
1499	0.5334304184
